103.44.255.88:443#HK [22.13 Mbps|34.13 ms]
43.168.16.112:443#HK [21.85 Mbps|35.41 ms]
103.44.244.161:443#HK [20.65 Mbps|29.92 ms]
47.129.204.216:443#SG [12.23 Mbps|76.40 ms]
13.251.17.38:443#SG [12.08 Mbps|73.85 ms]
47.131.107.7:443#SG [11.84 Mbps|73.94 ms]
23.27.113.77:443#MY [10.64 Mbps|80.48 ms]
202.144.195.47:443#JP [10.23 Mbps|74.09 ms]
13.114.169.120:443#JP [10.14 Mbps|77.47 ms]
47.239.220.3:443#JP [10.01 Mbps|50.12 ms]
96.126.190.51:443#MY [9.62 Mbps|79.53 ms]
43.218.77.16:443#ID [8.81 Mbps|89.98 ms]
43.200.87.5:443#KR [8.36 Mbps|113.62 ms]
47.57.240.170:443#US [7.25 Mbps|49.96 ms]
1.161.48.13:443#TW [6.63 Mbps|79.45 ms]
129.154.50.159:443#KR [5.87 Mbps|85.89 ms]
151.245.106.81:443#KR [5.76 Mbps|71.95 ms]
211.75.210.32:443#TW [5.13 Mbps|189.08 ms]
60.249.21.29:443#TW [4.90 Mbps|114.48 ms]
